,S.N.,Symbol,Mutual Fund Name,Fund Size (Rs.),Maturity Date,Maturity Period,Weekly Nav (Rs.),Weekly Nav Date,Monthly Nav (Rs.),Monthly Nav Date,LTP (Rs.),As of:,Premium (+) or Discount (-) %
1,1,LEMF,Laxmi Equity Fund,1250000000.0,2024-06-12,7 Years,9.95,2023-05-19,10.03,Chaitra 2079,8.36,2023-05-24,-15.98
2,2,NIBLPF,NIBL Pragati Fund,750000000.0,2024-01-11,7 Years,9.67,2023-05-19,9.81,Chaitra 2079,8.55,2023-05-24,-11.58
3,3,NMBHF1,NMB Hybrid Fund L- 1,1000000000.0,2023-10-26,7 Years,11.5,2023-05-19,11.11,Chaitra 2079,9.96,2023-05-24,-13.39
4,4,NEF,Nabil Equity Fund,1250000000.0,2023-11-06,7 Years,9.77,2023-05-19,9.89,Chaitra 2079,8.8,2023-05-24,-9.93
5,5,SAEF,Sanima Equity Fund,1300000000.0,2024-12-26,7 Years,12.11,2023-05-19,12.25,Chaitra 2079,10.2,2023-05-24,-15.77
6,6,SEF,Siddhartha Equity Fund,1500000000.0,2027-11-08,10 Years,9.58,2023-05-19,9.76,Chaitra 2079,8.44,2023-05-24,-11.9
7,7,CMF1,Citizens Mutual Fund-1,820000000.0,2025-03-03,7 Years,8.83,2023-05-12,9.19,Chaitra 2079,7.65,2023-05-24,-13.36
8,8,NICGF,NIC Asia Growth Fund,835200000.0,2025-03-12,7 Years,11.04,2023-05-19,11.23,Chaitra 2079,9.44,2023-05-24,-14.49
9,9,NBF2,Nabil Balanced Fund - 2,1120000000.0,2029-05-31,10 Years,9.65,2023-05-19,9.82,Chaitra 2079,8.27,2023-05-24,-14.3
10,10,CMF2,Citizens Mutual Fund - 2,560000000.0,2026-07-08,7 Years,9.54,2023-05-19,9.83,Chaitra 2079,8.35,2023-05-24,-12.47
11,11,NMB50,NMB 50,1250000000.0,2026-09-01,7 Years,10.94,2023-05-19,11.07,Chaitra 2079,9.3,2023-05-23,-14.99
12,12,SIGS2,Siddhartha Investment Growth Scheme-2,1200000000.0,2029-08-26,10 Years,9.67,2023-05-19,9.85,Chaitra 2079,8.42,2023-05-24,-12.93
13,13,NICBF,NIC ASIA Balanced Fund,755000000.0,2029-08-27,10 Years,10.57,2023-05-19,10.73,Chaitra 2079,8.77,2023-05-24,-17.03
14,14,SFMF,Sunrise First Mutual Fund,860000000.0,2029-11-04,10 Years,11.98,2023-05-19,12.04,Chaitra 2079,10.29,2023-05-23,-14.11
15,15,LUK,Laxmi Unnati Kosh,652623600.0,2027-10-01,7 Years,10.18,2023-05-19,10.25,Chaitra 2079,8.56,2023-05-24,-15.91
16,16,SLCF,Sanima Large Cap Fund,1200000000.0,2028-02-23,7 years,9.07,2023-05-19,9.18,Chaitra 2079,7.51,2023-05-24,-17.2
17,17,KEF,Kumari Equity Fund,1000000000.0,2031-03-18,10 years,10.17,2023-05-19,10.28,Chaitra 2079,8.22,2023-05-24,-19.17
18,18,SBCF,Sunrise Bluechip Fund,1250000000.0,2031-03-26,10 years,9.16,2023-05-19,9.17,Chaitra 2079,7.35,2023-05-24,-19.76
19,19,PSF,Prabhu Select Fund,1250000000.0,2028-06-21,7 years,10.32,2023-05-19,10.29,Chaitra 2079,8.45,2023-05-24,-18.12
20,20,NIBSF2,NIBL Samriddhi Fund - 2,1500000000.0,2031-05-29,10 years,8.5,2023-05-19,8.62,Chaitra 2079,7.58,2023-05-24,-10.82
21,21,NICSF,NIC Asia Select-30,1250000000.0,2028-07-05,7 years,10.08,2023-05-19,10.15,Chaitra 2079,8.19,2023-05-24,-18.75
22,22,RMF1,RBB Mutual Fund 1,1250000000.0,2028-07-23,7 years,9.01,2023-04-21,9.09,Chaitra 2079,7.5,2023-05-24,-16.76
23,23,NBF3,Nabil Balanced Fund III,1250000000.0,2031-09-23,10 years,8.33,2023-05-19,8.44,Chaitra 2079,7.4,2023-05-24,-11.16
24,24,MMF1,Mega Mutual Fund - 1,1250000000.0,2031-09-08,10 years,8.26,2023-05-19,8.31,Chaitra 2079,7.49,2023-05-24,-9.32
25,25,KDBY,Kumari Dhanabriddhi Yojana,1225072590.0,2032-07-25,10 years,10.39,2023-05-19,10.44,Chaitra 2079,8.18,2023-05-24,-21.27
26,26,NICFC,NIC Asia Flexi Cap Fund,1020000000.0,2029-06-15,7 years,9.96,2023-05-19,10.13,Chaitra 2079,8.3,2023-05-24,-16.67
27,27,GIBF1,Global IME Balance Fund-I,1025763600.0,2032-07-28,10 years,9.44,2023-05-19,9.74,Chaitra 2079,8.61,2023-05-24,-8.79
28,28,NSIF2,NMB Sulav Investment Fund - II,1200000000.0,2032-09-01,10 years,10.21,2023-05-19,10.2,Chaitra 2079,8.22,2023-05-24,-19.49
29,29,SAGF,Sanima Growth Fund,672532600.0,2033-11-27,11 years,9.93,2023-05-19,9.96,Chaitra 2079,8.2,2023-05-24,-17.42
30,30,NIBLGF,NIBL Growth Fund,1320000000.0,2033-01-17,10 years,9.81,2023-05-19,9.89,Chaitra 2079,8.14,2023-05-24,-17.02
31,31,SFEF,Sunrise Focused Equity Fund,1000000000.0,2032-02-12,10 years,9.93,2023-05-19,9.97,Chaitra 2079,9.2,2023-05-24,-7.35
